Text,true_label,predicted_label
blom kuasa presiden pretel siap si bocil wapres jakarta pontensial cuan bisnis paska ibukota pindah kendali ekonomi pegang pinokio si anak haram,Positif,Negatif
jakarta kabupaten ops mohon maaf ibukota idah pindah nusantara,Negatif,Negatif
sadar brenti katak dungu sembunyi benar dorong program benah kembali kakak dukung gubernur selaras ubah jadi alas pindah ibukota bikin miskin rakyat indonesia,Negatif,Negatif
provinsi dki jakarta gelar apel kesiapsiagaan kuat peran tugas tanggung rawan madam bakar layan baik masyarakat apel pimpin gubernur dki jakarta pramono anung sapa kakak anung,Positif,Negatif
ibukota pindah ikn lirik genderang ui ganti,Netral,Negatif
bikin banjir pindah ibukota,Netral,Negatif
habis ngonten guna helm tugas madam bakar damkar khairul umam aku teror nomor kenal,Negatif,Negatif
bersih tl,Netral,Netral
kasih pilih bangun kota bangun kota nol ok gas makan siang gratis logika bangun kota biaya total rata pbangunan pindah ibukota perata pbangunan proyek,Positif,Negatif
najam paser utara kalimantan timur nama ubah nusantara ibukota dki jakarta resmi pindah,Netral,Negatif
sengaja jakarta rendam banjir pindah ibukota ikn,Negatif,Negatif
pindah ibukota makse sense hutan kalimantan utopia pik versi birokrat,Netral,Negatif
bakar kampus bus manggis jakarta barat unit mobil tugas damkar kerah,Negatif,Negatif
eropa pindah ibukota daerah hutan perawan guoblokkk,Negatif,Negatif
serba nusantara ibukota nusantara jil jin jaring islam nusantara dsb,Negatif,Negatif
t s l c,Netral,Negatif
wkwkwkwkwkwkwkwkwkwkwkwkwkwkwkwkwkwkwkwkwkwkwkwkwkwkwk hitung pas pusat ibukota kabupaten pindah,Positif,Negatif
panggil madam bakar,Negatif,Negatif
tuju maksud bikin ibukota negara dasar tuju nusantara cocok nama negara nama ibukota mustahil bangsa negara jaya ketidakmampuan negara data fakta nama indonesia lemah,Negatif,Negatif
sabtu wib kota mojokerto terima lapor ular teras rumah warga panggreman kelas kranggan kec kranggan ular aman tugas damkar kota mojokerto,Negatif,Negatif
cepat jam usaha nyala,Netral,Negatif
fgp,Netral,Negatif
aceh propinsi nasionalisme kaleng pahlawan acehdan sy tuju pindah ibukota aceh yogya ikn paru dunia hutan babat peguasa usaha bangsat,Negatif,Negatif
bakar landa auditorium lantai kampus bus cakra kawasan kebon jeruk jakarta barat jumat pagi mei unit madam bakar personel kerah jinak si jago merah kepala seksi operasi sudin tanggulang,Positif,Negatif
konyol uu pindah ibukota enggan pindah ibukota paham ibukota,Negatif,Negatif
jakarta ibukota metropolitan ikn brproses ibokota ikn kelak indonesia kota pindah it bgini pulau jawa duduk bumi kdepannya diharapkn brtambah brkurang,Negatif,Negatif
wujud polri sigap responsif personel polsek balongbendo tugas madam bakar gerak cepat tangan bakar lahan kosong cegah api luas mukim warga hadir tugas lokasi bentuk nyata layan,Positif,Negatif
baca peta jalan densus ekstrem digital tugas madam bakar sibuk semprot asap lupa cari titik api lompat logika fatal fenomena catat teknologi,Negatif,Negatif
idk status ibukota kota najam paser perata bangun isu nya papua ntt pindah ibukota kesana perata bangun gitu conceptnya butuh pindah ibukota perata bangun,Negatif,Negatif
biar beton ibukota pindah orang,Netral,Negatif
butuh dukung dunia internasional kkb disupport dunia internasional senjata uang darimana beli senjata tingkat nato ngebiayai alas ibukota pindah biar barat segan,Netral,Negatif
bersih tl,Netral,Netral
ok bagus lupa guru dokter awat dosen teliti madam bakar tenaga medis darurat ambulans kerja sanitasi bersih kota tani nelayan buruh konstruksi teknisi listrik infrastruktur kerja sosial psikolog konselor asuh,Positif,Negatif
nyiapin bilang tugas kukuh yasudah sodorin tugas bilang aduh kakak damkar,Negatif,Negatif
pindah ibukota tanda maju bangsa nusantara,Negatif,Negatif
gimana nama jakarta macet duduk heran ibukota pindah geografis ibukota pindah,Negatif,Negatif
selasa wib api titik tugas madam bakar semprot air titik api mobil damkar siaga lokasi link,Negatif,Negatif
pindah ibukota nya kota biar jakarta pusat ekonomi sepi deh,Negatif,Negatif
raja nusantara ibukota,Netral,Negatif
ikn nusantara jaya bangsa negara,Netral,Negatif
perintah putus pindah kota nusantara ibukota negara ikn indonesia negara pinda kota negara baik hasil gagal,Negatif,Negatif
korea selatan belanda merdeka abad indonesia abad pindah ibukota heran rakyat indonesia proyek ikn samping hasil untung samping gaji presiden narasi,Negatif,Negatif
mrk nunggu kesempatanktnye demo bsran tanggal maret yekgk th tnggl ibukota waspada,Negatif,Negatif
pindah ibukota perintah hapus nama dki ibukota negara ubah gapaham nyata teman mati bela praroro kalah pindah ikn,Negatif,Negatif
orang dukung pindah kota iya salah alas pindah ibukota populasi padat ngecounter asn pindah kesana,Negatif,Negatif
satgas madam bakar bengkulu selatan tindak lanjut lapor anggota osis smpn tolong fasilitas mobil madam bakar acara siramsiraman buat videografi smpn kamis mei,Negatif,Negatif
sedih warga jakarta dukung pindah ibukota,Netral,Negatif
balik trump pro israel ibukota israel tel aviv pindah yerussalem pas zaman trump trump menang another win zionist more losses palestinians,Negatif,Negatif
terima kasih rudiana kepala seksi selamat damkar kota bogor r angga anggota seksi selamat damkar kota bogor tugas damkar kota bogor kerja dukung buat video dukung upaya konservasi macaca,Negatif,Negatif
ibukota pindah cenah,Netral,Negatif
masyaa allah salute damkar tugas madam bakar hasil madam api lahap pabrik swallow medan jam proses madam juang asap tebal suhu kondisi,Netral,Negatif
rezim cari loophole anggota dpr pindah ikn ngusulin ibukota legislasi,Negatif,Negatif
klu gorong tutup gorongnya ibukota pindah,Negatif,Negatif
menhan lihat ibukota nusantara ikon indonesia maju lanjut via,Positif,Negatif
sarang tawon temu telinga patung liu zongyuan liuzhou guangxi china selatan tugas madam bakar damkar drone bersih telinga teknologi canggih patung sair china kuno,Negatif,Negatif
